id,name,price,stock
229,Special Drink Energy Drink #229,48.49,27
230,Local Bakery Croissant #230,59.75,30
231,Fresh Dairy Skim Milk 1L #231,161.50,33
232,Classic Pantry Olive Oil 500ml #232,52.25,36
233,Original Frozen Frozen Dumplings #233,544.49,39
234,Salted Produce Sweet Onion #234,23.25,42
235,Spicy Meat Sausage Pack #235,950.50,45
236,Deluxe Bath Toothpaste #236,224.00,48
237,Imported Clean Bleach Bottle #237,186.49,51
238,Natural Office Sticky Notes #238,160.25,54
239,Organic Tech Phone Charger #239,2361.75,57
240,Premium Pet Dog Food 1kg #240,540.00,60
241,Roasted Coffee Cappuccino Sticks #241,375.49,63
242,Sweet Tea Jasmine Pearls #242,182.49,66
243,Light Snack Trail Mix #243,66.49,69
244,Special Drink Sports Drink #244,29.99,72
245,Local Bakery Cinnamon Roll #245,186.99,75
246,Fresh Dairy Greek Yogurt #246,234.99,78
247,Classic Pantry Soy Sauce 1L #247,37.00,81
248,Original Frozen Frozen Pizza #248,628.25,84
249,Salted Produce Garlic Bulb #249,91.75,87
250,Spicy Meat Lamb Chops #250,610.75,90
251,Deluxe Bath Mouthwash #251,139.25,93
252,Imported Clean Floor Wax #252,129.75,96
253,Natural Office Highlighter #253,100.25,99
254,Organic Tech Earphones #254,2321.49,7
255,Premium Pet Cat Food 1kg #255,286.00,10
256,Roasted Coffee Espresso Beans #256,195.25,13
257,Sweet Tea Hibiscus Leaves #257,87.25,16
258,Light Snack Popcorn Bag #258,95.50,19
259,Special Drink Juice Box #259,125.99,22
260,Local Bakery Banana Bread #260,136.50,25
261,Fresh Dairy Cheddar Block #261,418.50,28
262,Classic Pantry Brown Sugar 1kg #262,405.75,31
263,Original Frozen Ice Cream Tub #263,532.00,34
264,Salted Produce Red Apple #264,23.00,37
265,Spicy Meat Turkey Slice #265,647.99,40
266,Deluxe Bath Deodorant #266,247.25,43
267,Imported Clean Glass Cleaner #267,103.00,46
268,Natural Office Stapler #268,55.50,49
269,Organic Tech Power Bank #269,398.25,52
270,Premium Pet Pet Treats #270,313.25,55
271,Roasted Coffee Arabica Grounds #271,132.75,58
272,Sweet Tea Green Tea Bags #272,128.00,61
273,Light Snack Beef Jerky #273,25.75,64
274,Special Drink Coconut Water #274,98.50,67
275,Local Bakery Muffin #275,96.75,70
276,Fresh Dairy Mozzarella Ball #276,235.49,73
277,Classic Pantry Iodized Salt #277,341.25,76
278,Original Frozen Frozen Berries #278,247.49,79
279,Salted Produce Banana Bunch #279,43.99,82
280,Spicy Meat Pork Belly #280,1494.99,85
281,Deluxe Bath Hand Sanitizer #281,110.25,88
282,Imported Clean Trash Bags #282,103.25,91
283,Natural Office Tape Roll #283,93.50,94
284,Organic Tech HDMI Cable #284,1192.49,97
285,Premium Pet Cat Litter #285,941.25,5
286,Roasted Coffee Cold Brew Concentrate #286,115.50,8
287,Sweet Tea Black Tea Loose #287,116.99,11
288,Light Snack Potato Chips #288,189.50,14
289,Special Drink Lemonade Bottle #289,31.25,17
290,Local Bakery Bagel #290,179.25,20
291,Fresh Dairy Butter Stick #291,120.49,23
292,Classic Pantry Black Pepper #292,75.25,26
293,Original Frozen French Fries #293,210.49,29
294,Salted Produce Cavendish #294,111.25,32
295,Spicy Meat Chicken Breast #295,289.75,35
296,Deluxe Bath Bar Soap #296,153.50,38
297,Imported Clean Sponge Pack #297,225.99,41
298,Natural Office Eraser #298,202.99,44
299,Organic Tech Wireless Mouse #299,189.75,47
300,Premium Pet Dog Toy #300,53.49,50
301,Roasted Coffee Instant Sachets #301,211.00,53
302,Sweet Tea Chamomile Pouch #302,149.25,56
303,Light Snack Tortilla Chips #303,21.25,59
304,Special Drink Mineral Water 500ml #304,149.75,62
305,Local Bakery Donut #305,44.75,65
306,Fresh Dairy Cream Cheese #306,119.75,68
307,Classic Pantry Vinegar Bottle #307,432.75,71
308,Original Frozen Chicken Nuggets #308,350.25,74
309,Salted Produce Green Lettuce #309,111.99,77
310,Spicy Meat Ground Beef #310,707.25,80
311,Deluxe Bath Shampoo 200ml #311,194.99,83
312,Imported Clean Laundry Pod #312,403.99,86
313,Natural Office Marker Pen #313,188.00,89
314,Organic Tech Keyboard #314,774.25,92
315,Premium Pet Pet Shampoo #315,792.99,95
316,Roasted Coffee Decaf Pods #316,204.25,98
317,Sweet Tea Matcha Powder #317,244.75,6
318,Light Snack Pretzel Sticks #318,94.99,9
319,Special Drink Soda Can 330ml #319,148.99,12
320,Local Bakery Sourdough Loaf #320,195.50,15
321,Fresh Dairy Whipping Cream #321,68.50,18
322,Classic Pantry Tomato Sauce #322,188.00,21
323,Original Frozen Fish Fillet #323,270.00,24
324,Salted Produce Cherry Tomato #324,153.00,27
325,Spicy Meat Bacon Strips #325,833.99,30
326,Deluxe Bath Conditioner 200ml #326,62.75,33
327,Imported Clean Dish Soap #327,385.50,36
328,Natural Office Ballpen Black #328,240.50,39
329,Organic Tech Webcam #329,1460.49,42
330,Premium Pet Aquarium Pellets #330,107.50,45
331,Roasted Coffee Mocha Mix #331,576.99,48
332,Sweet Tea Oolong Tin #332,435.49,51
333,Light Snack Cheese Crackers #333,226.49,54
334,Special Drink Iced Tea Bottle #334,66.00,57
335,Local Bakery Baguette #335,106.49,60
336,Fresh Dairy Whole Milk 1L #336,278.49,63
337,Classic Pantry Pasta 500g #337,258.75,66
338,Original Frozen Veggie Mix #338,535.99,69
339,Salted Produce Carrot Pack #339,63.25,72
340,Spicy Meat Pork Loin #340,1383.49,75
341,Deluxe Bath Body Wash #341,304.49,78
342,Imported Clean All-Purpose Spray #342,401.00,81
343,Natural Office Notebook A5 #343,228.49,84
344,Organic Tech USB-C Cable #344,2443.25,87
345,Premium Pet Bird Seed #345,569.50,90
346,Roasted Coffee Latte Powder #346,436.50,93
347,Sweet Tea Earl Grey Box #347,225.00,96
348,Light Snack Granola Bar #348,210.99,99
349,Special Drink Energy Drink #349,26.75,7
350,Local Bakery Croissant #350,98.99,10
351,Fresh Dairy Skim Milk 1L #351,117.00,13
352,Classic Pantry Olive Oil 500ml #352,210.00,16
353,Original Frozen Frozen Dumplings #353,217.00,19
354,Salted Produce Sweet Onion #354,37.99,22
355,Spicy Meat Sausage Pack #355,1445.99,25
356,Deluxe Bath Toothpaste #356,65.75,28
357,Imported Clean Bleach Bottle #357,216.99,31
358,Natural Office Sticky Notes #358,107.00,34
359,Organic Tech Phone Charger #359,2164.00,37
360,Premium Pet Dog Food 1kg #360,166.49,40
361,Roasted Coffee Cappuccino Sticks #361,558.00,43
362,Sweet Tea Jasmine Pearls #362,298.75,46
363,Light Snack Trail Mix #363,180.49,49
364,Special Drink Sports Drink #364,141.50,52
365,Local Bakery Cinnamon Roll #365,87.50,55
366,Fresh Dairy Greek Yogurt #366,418.75,58
367,Classic Pantry Soy Sauce 1L #367,447.00,61
368,Original Frozen Frozen Pizza #368,150.50,64
369,Salted Produce Garlic Bulb #369,94.50,67
370,Spicy Meat Lamb Chops #370,154.49,70
371,Deluxe Bath Mouthwash #371,156.25,73
372,Imported Clean Floor Wax #372,212.75,76
373,Natural Office Highlighter #373,204.49,79
374,Organic Tech Earphones #374,659.49,82
375,Premium Pet Cat Food 1kg #375,586.25,85
376,Roasted Coffee Espresso Beans #376,316.50,88
377,Sweet Tea Hibiscus Leaves #377,240.00,91
378,Light Snack Popcorn Bag #378,188.25,94
379,Special Drink Juice Box #379,28.50,97
380,Local Bakery Banana Bread #380,83.75,5
381,Fresh Dairy Cheddar Block #381,394.99,8
382,Classic Pantry Brown Sugar 1kg #382,391.00,11
383,Original Frozen Ice Cream Tub #383,361.75,14
384,Salted Produce Red Apple #384,112.00,17
385,Spicy Meat Turkey Slice #385,1057.25,20
386,Deluxe Bath Deodorant #386,103.00,23
387,Imported Clean Glass Cleaner #387,282.49,26
388,Natural Office Stapler #388,113.25,29
389,Organic Tech Power Bank #389,2455.49,32
390,Premium Pet Pet Treats #390,871.50,35
391,Roasted Coffee Arabica Grounds #391,277.49,38
392,Sweet Tea Green Tea Bags #392,137.75,41
393,Light Snack Beef Jerky #393,87.75,44
394,Special Drink Coconut Water #394,39.25,47
395,Local Bakery Muffin #395,119.75,50
396,Fresh Dairy Mozzarella Ball #396,176.99,53
397,Classic Pantry Iodized Salt #397,129.49,56
398,Original Frozen Frozen Berries #398,516.50,59
399,Salted Produce Banana Bunch #399,131.25,62
400,Spicy Meat Pork Belly #400,532.99,65
401,Deluxe Bath Hand Sanitizer #401,311.49,68
402,Imported Clean Trash Bags #402,161.99,71
403,Natural Office Tape Roll #403,246.75,74
404,Organic Tech HDMI Cable #404,1023.00,77
405,Premium Pet Cat Litter #405,519.25,80
406,Roasted Coffee Cold Brew Concentrate #406,296.49,83
407,Sweet Tea Black Tea Loose #407,163.49,86
408,Light Snack Potato Chips #408,213.99,89
409,Special Drink Lemonade Bottle #409,59.50,92
410,Local Bakery Bagel #410,66.00,95
411,Fresh Dairy Butter Stick #411,294.25,98
412,Classic Pantry Black Pepper #412,58.00,6
413,Original Frozen French Fries #413,297.25,9
414,Salted Produce Cavendish #414,97.50,12
415,Spicy Meat Chicken Breast #415,601.50,15
416,Deluxe Bath Bar Soap #416,284.75,18
417,Imported Clean Sponge Pack #417,120.00,21
418,Natural Office Eraser #418,163.75,24
419,Organic Tech Wireless Mouse #419,272.00,27
420,Premium Pet Dog Toy #420,93.49,30
421,Roasted Coffee Instant Sachets #421,420.25,33
422,Sweet Tea Chamomile Pouch #422,56.50,36
423,Light Snack Tortilla Chips #423,53.99,39
424,Special Drink Mineral Water 500ml #424,39.25,42
425,Local Bakery Donut #425,48.99,45
426,Fresh Dairy Cream Cheese #426,265.75,48
427,Classic Pantry Vinegar Bottle #427,119.49,51
428,Original Frozen Chicken Nuggets #428,598.00,54
429,Salted Produce Green Lettuce #429,62.49,57
430,Spicy Meat Ground Beef #430,427.50,60
431,Deluxe Bath Shampoo 200ml #431,289.50,63
432,Imported Clean Laundry Pod #432,396.25,66
433,Natural Office Marker Pen #433,25.75,69
434,Organic Tech Keyboard #434,644.99,72
435,Premium Pet Pet Shampoo #435,892.00,75
436,Roasted Coffee Decaf Pods #436,317.25,78
437,Sweet Tea Matcha Powder #437,443.49,81
438,Light Snack Pretzel Sticks #438,77.25,84
439,Special Drink Soda Can 330ml #439,176.25,87
440,Local Bakery Sourdough Loaf #440,127.75,90
441,Fresh Dairy Whipping Cream #441,352.50,93
442,Classic Pantry Tomato Sauce #442,60.25,96
443,Original Frozen Fish Fillet #443,157.75,99
444,Salted Produce Cherry Tomato #444,117.00,7
445,Spicy Meat Bacon Strips #445,1222.75,10
446,Deluxe Bath Conditioner 200ml #446,99.00,13
447,Imported Clean Dish Soap #447,349.50,16
448,Natural Office Ballpen Black #448,78.00,19
449,Organic Tech Webcam #449,1587.50,22
450,Premium Pet Aquarium Pellets #450,179.99,25
451,Roasted Coffee Mocha Mix #451,623.49,28
452,Sweet Tea Oolong Tin #452,214.99,31
453,Light Snack Cheese Crackers #453,24.25,34
454,Special Drink Iced Tea Bottle #454,132.75,37
455,Local Bakery Baguette #455,49.25,40
456,Fresh Dairy Whole Milk 1L #456,117.75,43
457,Classic Pantry Pasta 500g #457,242.99,46
458,Original Frozen Veggie Mix #458,408.99,49
459,Salted Produce Carrot Pack #459,129.75,52
460,Spicy Meat Pork Loin #460,184.50,55
461,Deluxe Bath Body Wash #461,259.00,58
462,Imported Clean All-Purpose Spray #462,161.75,61
463,Natural Office Notebook A5 #463,43.00,64
464,Organic Tech USB-C Cable #464,445.00,67
465,Premium Pet Bird Seed #465,239.00,70
466,Roasted Coffee Latte Powder #466,462.50,73
467,Sweet Tea Earl Grey Box #467,41.75,76
468,Light Snack Granola Bar #468,101.25,79
469,Special Drink Energy Drink #469,54.50,82
470,Local Bakery Croissant #470,104.25,85
471,Fresh Dairy Skim Milk 1L #471,106.00,88
472,Classic Pantry Olive Oil 500ml #472,170.25,91
473,Original Frozen Frozen Dumplings #473,463.49,94
474,Salted Produce Sweet Onion #474,176.50,97
475,Spicy Meat Sausage Pack #475,672.99,5
476,Deluxe Bath Toothpaste #476,60.49,8
477,Imported Clean Bleach Bottle #477,97.50,11
478,Natural Office Sticky Notes #478,99.25,14
479,Organic Tech Phone Charger #479,2205.49,17
480,Premium Pet Dog Food 1kg #480,91.25,20
481,Roasted Coffee Cappuccino Sticks #481,443.99,23
482,Sweet Tea Jasmine Pearls #482,47.50,26
483,Light Snack Trail Mix #483,63.50,29
484,Special Drink Sports Drink #484,166.99,32
485,Local Bakery Cinnamon Roll #485,144.25,35
486,Fresh Dairy Greek Yogurt #486,402.49,38
487,Classic Pantry Soy Sauce 1L #487,425.50,41
488,Original Frozen Frozen Pizza #488,299.99,44
489,Salted Produce Garlic Bulb #489,56.49,47
490,Spicy Meat Lamb Chops #490,935.25,50
491,Deluxe Bath Mouthwash #491,182.49,53
492,Imported Clean Floor Wax #492,144.99,56
493,Natural Office Highlighter #493,41.25,59
494,Organic Tech Earphones #494,2395.50,62
495,Premium Pet Cat Food 1kg #495,121.00,65
496,Roasted Coffee Espresso Beans #496,621.99,68
497,Sweet Tea Hibiscus Leaves #497,464.49,71
498,Light Snack Popcorn Bag #498,144.50,74
499,Special Drink Juice Box #499,33.49,77
500,Local Bakery Banana Bread #500,96.00,80
501,Fresh Dairy Cheddar Block #501,351.75,83
502,Classic Pantry Brown Sugar 1kg #502,346.50,86
503,Original Frozen Ice Cream Tub #503,174.99,89
504,Salted Produce Red Apple #504,40.50,92
505,Spicy Meat Turkey Slice #505,1409.75,95
506,Deluxe Bath Deodorant #506,161.99,98
507,Imported Clean Glass Cleaner #507,211.49,6
508,Natural Office Stapler #508,191.99,9
509,Organic Tech Power Bank #509,2027.00,12
510,Premium Pet Pet Treats #510,722.00,15
511,Roasted Coffee Arabica Grounds #511,161.49,18
512,Sweet Tea Green Tea Bags #512,371.25,21
513,Light Snack Beef Jerky #513,121.49,24
514,Special Drink Coconut Water #514,73.25,27
515,Local Bakery Muffin #515,73.00,30
516,Fresh Dairy Mozzarella Ball #516,217.75,33
517,Classic Pantry Iodized Salt #517,339.25,36
518,Original Frozen Frozen Berries #518,512.50,39
519,Salted Produce Banana Bunch #519,97.49,42
520,Spicy Meat Pork Belly #520,1289.49,45
521,Deluxe Bath Hand Sanitizer #521,77.99,48
522,Imported Clean Trash Bags #522,374.50,51
523,Natural Office Tape Roll #523,118.00,54
524,Organic Tech HDMI Cable #524,2348.75,57
525,Premium Pet Cat Litter #525,329.49,60
526,Roasted Coffee Cold Brew Concentrate #526,98.25,63
527,Sweet Tea Black Tea Loose #527,234.75,66
528,Light Snack Potato Chips #528,80.75,69
529,Special Drink Lemonade Bottle #529,97.00,72
530,Local Bakery Bagel #530,97.49,75
531,Fresh Dairy Butter Stick #531,210.99,78
532,Classic Pantry Black Pepper #532,280.49,81
533,Original Frozen French Fries #533,316.49,84
534,Salted Produce Cavendish #534,111.50,87
535,Spicy Meat Chicken Breast #535,533.99,90
536,Deluxe Bath Bar Soap #536,271.49,93
537,Imported Clean Sponge Pack #537,199.49,96
538,Natural Office Eraser #538,182.50,99
539,Organic Tech Wireless Mouse #539,1010.75,7
540,Premium Pet Dog Toy #540,801.99,10
541,Roasted Coffee Instant Sachets #541,327.99,13
542,Sweet Tea Chamomile Pouch #542,441.50,16
543,Light Snack Tortilla Chips #543,147.00,19
544,Special Drink Mineral Water 500ml #544,148.49,22
545,Local Bakery Donut #545,193.49,25
546,Fresh Dairy Cream Cheese #546,332.50,28
547,Classic Pantry Vinegar Bottle #547,109.99,31
548,Original Frozen Chicken Nuggets #548,293.25,34
549,Salted Produce Green Lettuce #549,58.49,37
550,Spicy Meat Ground Beef #550,869.49,40
551,Deluxe Bath Shampoo 200ml #551,58.00,43
552,Imported Clean Laundry Pod #552,316.49,46
553,Natural Office Marker Pen #553,104.00,49
554,Organic Tech Keyboard #554,905.99,52
555,Premium Pet Pet Shampoo #555,641.00,55
556,Roasted Coffee Decaf Pods #556,302.00,58
557,Sweet Tea Matcha Powder #557,53.75,61
558,Light Snack Pretzel Sticks #558,236.99,64
559,Special Drink Soda Can 330ml #559,110.75,67
560,Local Bakery Sourdough Loaf #560,110.49,70
561,Fresh Dairy Whipping Cream #561,298.99,73
562,Classic Pantry Tomato Sauce #562,286.99,76
563,Original Frozen Fish Fillet #563,299.99,79
564,Salted Produce Cherry Tomato #564,120.99,82
565,Spicy Meat Bacon Strips #565,1259.75,85
566,Deluxe Bath Conditioner 200ml #566,305.75,88
567,Imported Clean Dish Soap #567,85.00,91
568,Natural Office Ballpen Black #568,200.00,94
569,Organic Tech Webcam #569,603.25,97
